City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Hithadhoo,MV,83.43,broken clouds,-0.6,73.0833,Scoop Guest House
8,Kununurra,AU,82.38,clear sky,-15.7667,128.7333,Hotel Kununurra
15,Ambulu,ID,80.62,few clouds,-8.345,113.6058,Hotel Ambulu Jember
17,Sirpur,IN,78.39,light rain,19.4833,79.6,Sathyamma Hotel
19,Kapaa,US,85.98,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
25,Vaini,TO,75.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
26,Portland,US,79.32,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
28,Faanui,PF,79.68,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
33,Noumea,NC,77.0,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
34,Yarada,IN,84.16,overcast clouds,17.65,83.2667,Jeevan
35,Alugan,PH,85.41,overcast clouds,12.2188,125.4808,JM Lodge
36,Fairbanks,US,87.1,clear sky,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
38,Hilo,US,82.13,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
39,Tura,IN,76.77,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
43,Avarua,CK,77.9,overcast clouds,-21.2078,-159.775,Paradise Inn
49,Cabo San Lucas,MX,83.8,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
50,Tazmalt,DZ,79.59,scattered clouds,36.3868,4.3989,Hôtel Numédia
55,San Andres,CO,82.42,few clouds,12.5847,-81.7006,Hotel Arena Blanca
63,Kieta,PG,83.26,light rain,-6.2167,155.6333,Uruna Bay Retreat
66,Samana,DO,78.1,light rain,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
71,Bathsheba,BB,81.21,broken clouds,13.2167,-59.5167,Atlantis Hotel
73,Hirara,JP,82.98,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
74,Kattivakkam,IN,84.29,overcast clouds,13.2167,80.3167,Euronova Freezer
79,Baoying,CN,85.93,broken clouds,33.2292,119.3092,GreenTree Alliance Yangzhou Baoying Town Huaijiang Street East Taishan Road Hotel
81,Luganville,VU,78.75,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
87,Makakilo City,US,84.52,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
91,Atar,MR,88.48,clear sky,20.5169,-13.0499,Oumou Elghoura
93,Ipilan,PH,84.56,overcast clouds,8.8431,117.9033,Brookes Inn
99,Filingue,NE,87.64,clear sky,14.3521,3.3168,
106,Gat,IL,79.39,clear sky,31.61,34.7642,OlusHome
108,Khandyga,RU,89.04,broken clouds,62.6667,135.6,Apel'sin
109,La Ronge,CA,82.78,clear sky,55.1001,-105.2842,Northland Motor Hotel
112,Black River,JM,82.4,few clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
116,Bengkulu,ID,81.88,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
120,Yumen,CN,79.74,clear sky,40.2833,97.2,
121,Puerto Cabezas,NI,78.44,overcast clouds,14.0351,-83.3888,Cabaña Caribe
122,Butaritari,KI,83.53,light rain,3.0707,172.7902,Isles Sunset Lodge
135,Turayf,SA,75.87,clear sky,31.6725,38.6637,Turaif
137,Acarau,BR,77.05,overcast clouds,-2.8856,-40.12,castelo pizzaria
138,Yuli,NG,76.05,broken clouds,9.6989,10.2744,
141,Salalah,OM,80.69,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
151,Nyurba,RU,86.88,clear sky,63.2842,118.3319,Gostinitsa Alrosa
153,Ormara,PK,82.81,overcast clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
154,Oistins,BB,80.69,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
156,Zhigansk,RU,75.52,clear sky,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
159,Gizo,SB,82.02,light rain,-8.103,156.8419,Imagination Island
162,Norman Wells,CA,79.88,few clouds,65.282,-126.8329,Heritage Hotel
165,Atuona,PF,78.94,light rain,-9.8,-139.0333,Villa Enata
167,Cayenne,GF,83.08,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
174,Asyut,EG,85.06,clear sky,27.181,31.1837,Florence Hotel Assiut
175,Lagos,NG,75.43,light rain,6.5833,3.75,
176,Umm Kaddadah,SD,85.03,scattered clouds,13.6017,26.6876,
177,Churapcha,RU,87.35,scattered clouds,62.0025,132.4325,
178,Deori Khas,IN,84.25,overcast clouds,23.4,79.0167,SAMARPAD COMPUTER DEORI
179,Maragogi,BR,75.11,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
181,Lahij,YE,86.23,clear sky,13.1667,44.5833,
184,Najran,SA,77.77,clear sky,17.4924,44.1277,محمد هادي ال فطيح
188,Katsuura,JP,75.22,moderate rain,35.1333,140.3,Katsuura Hotel Mikazuki
190,Bucerias,MX,80.58,overcast clouds,20.75,-105.3333,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
192,Lorengau,PG,83.1,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
193,Half Moon Bay,US,79.57,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
194,Bhadreswar,IN,80.49,overcast clouds,22.8244,88.3506,2 No Durga Villa
197,Soe,ID,76.71,broken clouds,-9.8607,124.284,Dena Hotel
198,Moorhead,US,84.22,clear sky,46.8739,-96.7676,"Courtyard by Marriott Fargo Moorhead, MN"
204,Whitehorse,CA,81.01,scattered clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
205,Trat,TH,88.25,few clouds,12.5,102.5,สวนหนิง-อัศ
206,College,US,87.01,clear sky,64.8569,-147.8028,Pike's Waterfront Lodge
211,Goure,NE,87.03,few clouds,13.9835,10.2704,
