City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Puerres,CO,1.1937,-77.2666,47.35,87,42,6.53,scattered clouds
1,Hobart,AU,-42.8794,147.3294,55.26,81,75,3.0,broken clouds
2,Bredasdorp,ZA,-34.5322,20.0403,50.56,89,91,5.77,overcast clouds
3,Simoes,BR,-7.5989,-40.8178,70.92,82,13,16.06,few clouds
4,Puerto Ayora,EC,-0.7393,-90.3518,72.55,89,56,8.99,broken clouds
5,Roald,NO,62.5833,6.1333,57.33,100,0,4.61,clear sky
6,Hithadhoo,MV,-0.6,73.0833,83.43,68,75,12.17,broken clouds
7,Mataura,NZ,-46.1927,168.8643,52.48,66,12,1.95,few clouds
8,Kununurra,AU,-15.7667,128.7333,82.38,20,2,14.97,clear sky
9,Punta Arenas,CL,-53.15,-70.9167,32.11,80,40,11.5,scattered clouds
10,Tuktoyaktuk,CA,69.4541,-133.0374,41.11,86,100,12.03,overcast clouds
11,Coquimbo,CL,-29.9533,-71.3436,51.53,87,0,3.44,clear sky
12,Palmer,US,42.1584,-72.3287,71.15,85,90,0.0,heavy intensity rain
13,Albany,US,42.6001,-73.9662,68.4,94,100,1.7,overcast clouds
14,Rikitea,PF,-23.1203,-134.9692,74.64,78,4,15.5,clear sky
15,Ambulu,ID,-8.345,113.6058,80.62,65,21,4.36,few clouds
16,Andenes,NO,69.3143,16.1194,50.47,93,75,14.97,broken clouds
17,Sirpur,IN,19.4833,79.6,78.39,88,100,8.03,light rain
18,Harbour Breton,CA,47.4833,-55.7983,47.79,90,100,19.06,overcast clouds
19,Kapaa,US,22.0752,-159.319,85.98,78,90,3.0,light rain
20,Sao Joao Da Barra,BR,-21.6403,-41.0511,62.64,86,0,7.34,clear sky
21,Ancud,CL,-41.8697,-73.8203,46.22,71,89,12.55,overcast clouds
22,Longyearbyen,SJ,78.2186,15.6401,39.04,75,75,16.11,broken clouds
23,Ushuaia,AR,-54.8,-68.3,29.48,86,32,6.04,scattered clouds
24,Kampene,CD,-3.6,26.6667,74.19,45,99,2.06,overcast clouds
25,Vaini,TO,-21.2,-175.2,75.36,88,40,9.22,scattered clouds
26,Portland,US,45.5234,-122.6762,79.32,61,90,10.36,overcast clouds
27,Nikolskoye,RU,59.7035,30.7861,64.29,84,52,3.4,broken clouds
28,Faanui,PF,-16.4833,-151.75,79.68,75,3,23.71,clear sky
29,Carnarvon,AU,-24.8667,113.6333,69.48,40,31,10.11,scattered clouds
30,Jamestown,US,42.097,-79.2353,65.52,94,90,1.99,heavy intensity rain
31,Gerede,TR,40.8008,32.1969,61.29,40,2,5.1,clear sky
32,Torbay,CA,47.6666,-52.7314,47.57,98,90,12.66,light intensity drizzle
33,Noumea,NC,-22.2763,166.4572,77.0,99,52,17.92,broken clouds
34,Yarada,IN,17.65,83.2667,84.16,75,100,11.7,overcast clouds
35,Alugan,PH,12.2188,125.4808,85.41,66,100,4.12,overcast clouds
36,Fairbanks,US,64.8378,-147.7164,87.1,26,1,0.0,clear sky
37,Yar-Sale,RU,66.8333,70.8333,51.04,59,0,21.74,clear sky
38,Hilo,US,19.7297,-155.09,82.13,64,90,6.91,overcast clouds
39,Tura,IN,25.5198,90.2201,76.77,95,99,5.21,overcast clouds
40,Royan,FR,45.6285,-1.0281,64.44,76,100,4.27,overcast clouds
41,San Miguel,SV,13.4833,-88.1833,74.48,96,38,2.8,moderate rain
42,Koshurnikovo,RU,54.1667,93.3,60.82,60,0,3.89,clear sky
43,Avarua,CK,-21.2078,-159.775,77.9,86,94,20.07,overcast clouds
44,Namibe,AO,-15.1961,12.1522,63.99,82,12,1.5,few clouds
45,Klaksvik,FO,62.2266,-6.589,47.32,87,10,5.91,clear sky
46,Busselton,AU,-33.65,115.3333,57.04,82,32,6.22,scattered clouds
47,Cabra,ES,37.4725,-4.4421,74.89,60,0,2.21,clear sky
48,Hermanus,ZA,-34.4187,19.2345,55.9,78,48,15.64,scattered clouds
49,Cabo San Lucas,MX,22.8909,-109.9124,83.8,62,1,8.01,clear sky
50,Tazmalt,DZ,36.3868,4.3989,79.59,45,45,2.3,scattered clouds
51,Barrow,US,71.2906,-156.7887,37.42,75,1,10.36,clear sky
52,New Norfolk,AU,-42.7826,147.0587,54.91,82,100,3.0,light rain
53,Hasaki,JP,35.7333,140.8333,72.0,95,100,16.82,moderate rain
54,Arman,RU,59.7,150.1667,63.12,68,100,9.64,overcast clouds
55,San Andres,CO,12.5847,-81.7006,82.42,83,20,9.22,few clouds
56,Yulara,AU,-25.2406,130.9889,64.24,36,0,9.22,clear sky
57,Neustadt,DE,49.7117,12.0872,55.71,96,90,1.01,light intensity drizzle
58,Itacare,BR,-14.2775,-38.9967,69.85,91,98,10.36,overcast clouds
59,Southport,GB,53.6478,-3.0065,59.63,75,98,3.13,overcast clouds
60,Susehri,TR,40.1644,38.0867,60.1,74,0,2.39,clear sky
61,Nome,US,64.5011,-165.4064,64.17,64,100,10.51,overcast clouds
62,Rawson,AR,-43.3002,-65.1023,46.47,50,2,15.93,clear sky
63,Kieta,PG,-6.2167,155.6333,83.26,72,100,3.76,light rain
